Geneid	Length	/projectnb/paxlab/Patch_seq/data/patch_seq/bams/V1_52Aligned.sortedByCoord.out.bam	/projectnb/paxlab/Patch_seq/data/patch_seq/bams/LPFC_74Aligned.sortedByCoord.out.bam	/projectnb/paxlab/Patch_seq/data/patch_seq/bams/LPFC_7Aligned.sortedByCoord.out.bam	/projectnb/paxlab/Patch_seq/data/patch_seq/bams/V1_11Aligned.sortedByCoord.out.bam	/projectnb/paxlab/Patch_seq/data/patch_seq/bams/ACC_79Aligned.sortedByCoord.out.bam	/projectnb/paxlab/Patch_seq/data/patch_seq/bams/ACC_78Aligned.sortedByCoord.out.bam	/projectnb/paxlab/Patch_seq/data/patch_seq/bams/LPFC_22Aligned.sortedByCoord.out.bam	/projectnb/paxlab/Patch_seq/data/patch_seq/bams/LPFC_15Aligned.sortedByCoord.out.bam	/projectnb/paxlab/Patch_seq/data/patch_seq/bams/V1_51Aligned.sortedByCoord.out.bam	/projectnb/paxlab/Patch_seq/data/patch_seq/bams/LPFC_75Aligned.sortedByCoord.out.bam	/projectnb/paxlab/Patch_seq/data/patch_seq/bams/LPFC_4Aligned.sortedByCoord.out.bam	/projectnb/paxlab/Patch_seq/data/patch_seq/bams/ACC_47Aligned.sortedByCoord.out.bam	/projectnb/paxlab/Patch_seq/data/patch_seq/bams/ACC_14Aligned.sortedByCoord.out.bam	/projectnb/paxlab/Patch_seq/data/patch_seq/bams/ACC_3Aligned.sortedByCoord.out.bam	/projectnb/paxlab/Patch_seq/data/patch_seq/bams/LPFC_9Aligned.sortedByCoord.out.bam	/projectnb/paxlab/Patch_seq/data/patch_seq/bams/ACC_8Aligned.sortedByCoord.out.bam	/projectnb/paxlab/Patch_seq/data/patch_seq/bams/LPFC_11Aligned.sortedByCoord.out.bam	/projectnb/paxlab/Patch_seq/data/patch_seq/bams/ACC_7Aligned.sortedByCoord.out.bam	/projectnb/paxlab/Patch_seq/data/patch_seq/bams/LPFC_6Aligned.sortedByCoord.out.bam	/projectnb/paxlab/Patch_seq/data/patch_seq/bams/ACC_80Aligned.sortedByCoord.out.bam	/projectnb/paxlab/Patch_seq/data/patch_seq/bams/LPFC_73Aligned.sortedByCoord.out.bam	/projectnb/paxlab/Patch_seq/data/patch_seq/bams/ACC_4Aligned.sortedByCoord.out.bam	/projectnb/paxlab/Patch_seq/data/patch_seq/bams/LPFC_72Aligned.sortedByCoord.out.bam	/projectnb/paxlab/Patch_seq/data/patch_seq/bams/ACC_2BAligned.sortedByCoord.out.bam	/projectnb/paxlab/Patch_seq/data/patch_seq/bams/ACC_17Aligned.sortedByCoord.out.bam	/projectnb/paxlab/Patch_seq/data/patch_seq/bams/V1_49Aligned.sortedByCoord.out.bam	/projectnb/paxlab/Patch_seq/data/patch_seq/bams/LPFC_5Aligned.sortedByCoord.out.bam	/projectnb/paxlab/Patch_seq/data/patch_seq/bams/LPFC_76Aligned.sortedByCoord.out.bam	/projectnb/paxlab/Patch_seq/data/patch_seq/bams/LPFC_16Aligned.sortedByCoord.out.bam	/projectnb/paxlab/Patch_seq/data/patch_seq/bams/ACC_48Aligned.sortedByCoord.out.bam	/projectnb/paxlab/Patch_seq/data/patch_seq/bams/ACC_77Aligned.sortedByCoord.out.bam	/projectnb/paxlab/Patch_seq/data/patch_seq/bams/ACC_12_R1Aligned.sortedByCoord.out.bam	/projectnb/paxlab/Patch_seq/data/patch_seq/bams/ACC_2Aligned.sortedByCoord.out.bam	/projectnb/paxlab/Patch_seq/data/patch_seq/bams/ACC_3BAligned.sortedByCoord.out.bam	/projectnb/paxlab/Patch_seq/data/patch_seq/bams/LPFC_13Aligned.sortedByCoord.out.bam	/projectnb/paxlab/Patch_seq/data/patch_seq/bams/V1_8Aligned.sortedByCoord.out.bam
ENSMMUG00000005566	1110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000064874	927	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000039595	939	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000038524	936	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000049432	963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000050812	1962	2	0	0	0	0	273	2	0	2	4	6	1	0	10	1	0	0	4	4	3	2	3	2	0	0	0	4	3	0	2	0	0	0	0	0	3
ENSMMUG00000059065	939	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000064763	3684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	158	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000053957	939	0	0	0	0	0	518	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
ENSMMUG00000062908	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000057748	939	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	342	0	0	0	0	0
ENSMMUG00000051218	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	153	0	0	0	0	0	0	0	0	0
ENSMMUG00000050041	939	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	309	0	0	0	0	0	0	0	0	0
ENSMMUG00000052261	939	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000054556	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000060886	939	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000062168	939	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000059751	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000018891	975	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000056262	1888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000038159	945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000005570	1832	0	0	0	0	540	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	193	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000006214	5850	0	0	116	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	163	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000056211	1789	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	163	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000049478	876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000062849	960	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	324	336	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000064145	945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000059455	2001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000016175	927	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000016176	924	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000058340	776	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000005955	1849	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
ENSMMUG00000012954	1023	0	0	0	0	0	0	0	0	0	0	0	181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000060427	1461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000005949	954	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000005946	4143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	1253	0	0	0	0	0	69
ENSMMUG00000052686	1141	0	0	442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000019585	2509	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	2	0	0	0	123	0	348	76	0	151	0	0	62	0	0	0	0	0	0	0	5
ENSMMUG00000064912	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
ENSMMUG00000021266	1269	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000058602	1035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000059322	4358	0	0	107	0	0	17	0	0	0	0	0	0	4	2	4	0	2	28	0	169	0	0	0	0	131	0	0	0	0	0	0	1720	6	0	0	0
ENSMMUG00000004566	1438	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	1530	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000058214	597	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	91	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0
ENSMMUG00000023311	1896	6	6	22	0	0	41	2	37	0	0	1972	0	0	2	51	49	0	2	50	0	2	50	0	143	24	4	39	0	2	0	4	0	0	0	0	0
ENSMMUG00000050290	1374	0	1066	0	0	0	724	0	0	2	3038	292	0	0	404	509	0	0	0	56	250	0	1530	16	0	0	0	0	0	4	0	458	2	0	0	0	0
ENSMMUG00000054567	1143	8	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000031191	2573	0	83	0	0	0	57	1642	0	0	480	0	0	0	303	1708	0	0	0	1	0	0	651	0	0	159	0	0	0	0	0	2	0	0	0	0	0
ENSMMUG00000061999	117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000016408	7011	1832	692	538	4	39	322	394	1624	106	949	716	1	6	974	5563	106	0	2260	2143	978	330	165	0	483	2722	2	406	0	0	470	1743	4	6	0	4	2844
ENSMMUG00000049281	1738	0	0	634	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	222	4	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0
ENSMMUG00000053269	512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000022208	2792	3754	1826	1180	1722	5898	2210	0	252	0	0	10	0	368	1422	2317	4627	6935	0	6318	1148	498	2440	16	865	6	1000	2	0	0	2	1500	4	0	0	168	23
ENSMMUG00000056452	1269	0	0	513	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000050866	1890	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000057881	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000062560	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000064226	4909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000061675	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000053105	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000044246	292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000052988	148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000051199	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000058983	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000050099	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000053289	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000050167	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000054394	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000050971	4502	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000026576	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000050302	117	0	0	0	0	0	0	0	0	435	48	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000061587	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000064992	148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000025558	161	0	0	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000060709	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000035621	167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000050926	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000047025	299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000051961	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000056846	1683	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	173
ENSMMUG00000062726	1144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000036728	187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000050964	117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000065137	1367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	0	0	0	0	0	0	0
ENSMMUG00000057829	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0
ENSMMUG00000061941	148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000054812	147	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000059354	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000054381	1040	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000055981	1849	44	2	2	10	0	12	86	16	0	0	6	40	0	0	16	8	0	18	24	0	2	26	16	2	0	12	2	0	396	0	28	0	0	0	6	0
ENSMMUG00000052461	1302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000058124	1125	0	10	94	7	0	50	149	40	0	4	17	0	0	0	1	71	921	271	88	0	0	58	0	23	10	309	159	0	1153	13	0	0	0	99	0	1
ENSMMUG00000060426	117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000059666	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000060006	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000025681	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
